# step, Sigma_I(M), SD{Sigma_I}
0 0.0002491180585912794 5.570449134328763e-07 
1 0.0003352409136666665 1.0601248520625358e-06 
2 0.00044306341272181625 1.981439818378053e-06 
3 0.0005637343712097452 3.5653692166912915e-06 
4 0.000679468893674023 6.07735453940677e-06 
5 0.0007771736279520799 9.830555206979496e-06 
6 0.0008336820715776018 1.4915744979511715e-05 
7 0.0008907277808579856 2.253743477967859e-05 
8 0.0009237032405781378 3.307388148882146e-05 
9 0.0010017514811053846 5.072565804748965e-05 
10 0.0010329920401494475 7.416450630124778e-05 
11 0.0010246007202088382 0.00010457287310832525 
12 0.0009705071679196023 0.0001400806436622109 
13 0.0009649713029796472 0.0001969739423940637 
14 0.0003593330674908122 0.00010373052162227718 
15 0.00031673366710783027 0.000129305978129122 
16 0.0 0.0 
